block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19352243,0x091f03b166b7b3cdf39d85a65725e72700b73ba2ae1768ad4dea1c6952e7a9a7,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163219550589,385686468,779845770315
19352422,0xe6cdc90eb5be415a4b27ef86086491a919cdf9f6f47e802e79eaca8e349d8068,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67480,67490,21815257304,0,318458997
19355978,0x3aa7a3b2c1b3e43d09b3f6ddbb037ffe36879111542fd15273fce10b48cb567a,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163191282923,384133361,780982268075
19359651,0xf5a90b54883067b121ce8891f28ac4447903f157b8227c049eeae23b58e74db9,17,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163189718835,387745194,777882843274
19362309,0x9f504061dbd1a29adebc4268a15cbcb56547fba54dc28faf895dbc92ed628ed6,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67510,67520,21784362850,372474,0
19363220,0x1b2786cf729b3b5c3b477faa06f0686f1b51d0f87d5ad8e6eb25f12038b5a678,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67500,67510,21796928437,0,318509767
19363846,0x96083da353fd05f745dc1d753624e6520175fb85714692c0beea058df7e1763e,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163193973265,389016492,776825512611
19365012,0x40e9abb29ddc3a20c11c61e6083347e617a3d1f294ad113ed665620dea5a29d5,17,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67510,67520,21790937448,372587,0
19367607,0xd499796240b18414190207338c23a4570772803af1310c570aec827396676086,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163196827379,393393283,773108970455
19368613,0x7a601dd031ed9ee3c1a8d274024bd6e7929fbc3e8d77cc1a1f3641a764b5de8c,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67490,67500,21775282670,0,318034418
19370421,0xa1f34757df6dc803477ac29d5a2ecaa69b212a4d28574718716486d0282935c9,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67500,67510,21775858197,0,318201876
19371309,0xf60b04ed3a25be4e7850959fcb74678287f06feb49619a9569ba54b6520116df,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67520,67530,21757067125,0,318245360
19371341,0x81bd009dd8deb5563e5bd2fe153fe1830c5b6c5ef13dc45be73b191573761e78,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63950,68950,163205064968,360697345,801215980114
19372018,0xfbcbbcf89f74f9c4bd6132a31261834c579aafe7ea4a064e1a78397e3459f9bb,42,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63940,68940,162960584625,342779979,814800347528
